4517, 0, 0, 0, 10542, -11672, 1440, 4358, 54, 111, -29
4585, 0, 0, -1, 10422, -11649, 1333, 4726, 45, -4, -26
4653, 0, 0, 0, 10322, -11710, 1315, 4802, -82, 91, 5
4720, 0, -1, 0, 10144, -11723, 1728, 5014, 76, 49, 19
4792, 0, -1, 0, 10164, -11657, 1923, 5054, -19, 150, 51
4860, 0, -1, 0, 10222, -11438, 2422, 5220, 102, 245, 23
4928, 0, -1, 0, 10378, -11346, 2364, 5137, 146, 134, 91
4996, 0, -1, 0, 10479, -11324, 2391, 4969, 255, -70, 117
5068, 0, -2, 1, 10453, -11397, 2355, 4872, 88, 118, 30
5136, 0, -2, 1, 10437, -11403, 2439, 4850, 43, -28, -8
5206, 1, -2, 1, 10412, -11406, 2478, 4878, 41, 26, -37
5278, 1, -3, 1, 10403, -11382, 2513, 4934, 5, 52, -18
5346, 1, -3, 2, 10433, -11331, 2613, 4936, -134, 125, -28
5417, 1, -3, 2, 10481, -11243, 2776, 4946, -191, 147, -29
5489, 1, -3, 3, 10557, -11135, 3004, 4896, -150, 73, -39
5557, 2, -4, 3, 10695, -11099, 2998, 4678, -67, 71, -36
5628, 2, -4, 4, 10780, -11030, 3069, 4599, -36, -45, -14
5698, 2, -4, 4, 10865, -10999, 3011, 4509, -8, 84, 18
5766, 2, -4, 5, 10976, -10875, 3067, 4506, 47, 11, 48
5838, 2, -4, 5, 11009, -10794, 3115, 4587, 95, -120, 90
5906, 2, -5, 6, 11005, -10832, 3005, 4580, 122, -121, 57
5974, 2, -5, 6, 10988, -10893, 2837, 4582, -8, -242, 69
6042, 2, -5, 6, 10816, -11089, 2748, 4575, 105, -146, 0
6114, 2, -6, 7, 10693, -11231, 2671, 4564, 38, 45, -29
6182, 3, -6, 7, 10666, -11272, 2660, 4533, 48, -17, -2
6250, 3, -6, 7, 10664, -11299, 2614, 4497, 71, 35, 20
6318, 3, -7, 7, 10663, -11282, 2641, 4526, 31, 0, 40
6388, 3, -7, 8, 10674, -11308, 2579, 4470, 61, 106, 33
6457, 4, -8, 8, 10689, -11356, 2424, 4397, 148, 179, 31
6526, 4, -8, 8, 10952, -11344, 2095, 3925, 101, 289, 59
6598, 4, -9, 9, 11433, -11200, 1594, 3119, 169, 294, -5
6666, 5, -10, 10, 11834, -11095, 796, 2160, 104, 179, 0
6737, 5, -10, 11, 12050, -11011, 77, 1406, -64, 63, -45
6807, 6, -11, 11, 12190, -10906, -638, 697, -51, 23, -73
6875, 6, -11, 12, 12303, -10770, -1002, 302, -77, -184, 37
6947, 6, -12, 12, 12477, -10551, -1194, -113, -12, -285, 60
7018, 7, -13, 13, 12711, -10266, -1205, -168, 109, -362, 42
7086, 7, -13, 13, 12464, -10571, -1145, 158, -3, -336, 10
7158, 8, -14, 13, 12227, -10838, -1205, 179, 10, -199, -22
7226, 8, -15, 13, 12148, -10918, -1276, 152, 1, -92, -37
7295, 8, -15, 13, 12180, -10886, -1226, 251, -75, 76, 4
7363, 9, -16, 13, 12245, -10822, -1101, 406, -6, 67, -1
7434, 9, -17, 14, 12266, -10799, -1079, 426, -14, 20, -7
7502, 9, -18, 14, 12259, -10806, -1075, 468, -49, -52, 3
7570, 10, -18, 14, 12232, -10836, -1090, 473, 3, -28, -37
7638, 10, -19, 14, 12229, -10836, -1107, 495, -19, -80, -118
7709, 10, -19, 14, 12260, -10797, -1108, 584, 0, -59, -194
7777, 11, -20, 14, 12230, -10798, -1226, 872, 91, -131, -205
7846, 11, -20, 14, 12078, -10899, -1435, 1311, 18, -77, -149
7918, 11, -21, 14, 12026, -10917, -1478, 1567, 18, 22, -118
7987, 11, -21, 14, 11949, -10956, -1626, 1725, -357, -20, -276
8057, 12, -21, 14, 11897, -10930, -1794, 2052, -14, 145, 90
8129, 12, -21, 14, 11964, -10747, -1949, 2446, -28, 187, 52
8198, 12, -22, 14, 12012, -10534, -2090, 2967, -62, 20, 43
8268, 12, -22, 14, 12065, -10320, -2165, 3418, 53, 53, 122
8340, 12, -22, 14, 12072, -10200, -2274, 3674, -58, 73, 182
8409, 12, -23, 14, 12095, -10067, -2203, 3994, -67, -62, 228
8479, 13, -23, 15, 12058, -10090, -2281, 4003, -24, -109, 138
8552, 13, -24, 15, 12037, -10121, -2369, 3938, 21, -3, 58
8620, 13, -25, 15, 12046, -10098, -2365, 3972, -76, -75, 71
8691, 13, -25, 15, 12036, -10141, -2380, 3883, -34, -22, 22
8762, 13, -26, 15, 12029, -10160, -2369, 3861, 0, 6, -21
8831, 13, -27, 16, 12058, -10093, -2410, 3920, 17, 4, -4
8902, 13, -27, 16, 12094, -9946, -2465, 4144, 81, -69, -33
8974, 13, -28, 16, 12183, -9615, -2655, 4529, 47, -202, -2
9042, 13, -29, 16, 12296, -8912, -3547, 5022, 15, -138, 74
9113, 13, -29, 16, 12380, -8186, -4161, 5554, -37, 2, -21
9185, 13, -30, 16, 12477, -7374, -4536, 6150, -9, 78, -65
9253, 13, -31, 16, 12589, -6528, -4639, 6769, -181, 61, -61
9324, 13, -31, 16, 12737, -5943, -4377, 7192, -175, -191, -26
9397, 12, -32, 16, 12861, -5445, -3792, 7681, 4, -13, -7
9465, 12, -32, 16, 13023, -5118, -3428, 7802, 161, 171, -30
9536, 12, -33, 16, 13283, -4882, -3266, 7583, 119, 146, -90
9607, 12, -33, 16, 13533, -4819, -3284, 7162, 78, 164, -95
9676, 13, -34, 16, 13829, -4993, -3448, 6355, -186, 241, 54
9746, 13, -34, 16, 13946, -5298, -3463, 5822, -187, 263, 68
9819, 13, -34, 17, 13901, -6077, -3358, 5195, 13, 38, 23
9887, 13, -35, 17, 13635, -6965, -3201, 4876, -291, -144, 161
9958, 12, -35, 16, 13437, -7800, -3049, 4212, -293, -2018, -1221
10030, 12, -35, 16, 12283, -9617, -2540, 4315, -147, -3, 106
10099, 11, -36, 15, 12391, -9583, -2552, 4069, 15, 8, -44
10169, 10, -36, 15, 12208, -9775, -2496, 4198, -22, -28, -39
10241, 9, -36, 14, 12084, -9927, -2490, 4203, -134, -43, 6
10310, 8, -36, 14, 12066, -9997, -2512, 4075, 3, 136, 79
10380, 8, -37, 13, 11951, -10041, -2395, 4364, 29, -136, 75
10452, 7, -37, 13, 11182, -10817, -1210, 4994, 11, -99, -135
10521, 6, -37, 12, 11076, -10866, -1109, 5144, -3, 0, 19
10591, 5, -37, 11, 11063, -10860, -1107, 5186, -35, 8, 28
10662, 4, -38, 11, 11051, -10854, -1126, 5219, -18, -4, 15
10731, 3, -38, 10, 11039, -10847, -1139, 5256, -4, -6, 10
10802, 2, -38, 10, 11030, -10842, -1143, 5284, -9, -10, 16
10874, 2, -38, 9, 11024, -10837, -1144, 5306, -16, -5, 3
10942, 1, -39, 9, 11015, -10833, -1152, 5332, -21, 0, 34
11013, 0, -39, 8, 11008, -10831, -1154, 5348, -27, 5, 24
11084, -1, -39, 8, 11001, -10830, -1155, 5365, -16, -1, 15
11152, -2, -39, 7, 10990, -10831, -1143, 5388, -23, -9, 21
11224, -3, -40, 7, 10981, -10833, -1134, 5404, -14, -1, 15
11292, -4, -40, 6, 10971, -10839, -1123, 5416, -22, -2, 14
11362, -5, -40, 5, 10963, -10837, -1117, 5438, -7, -7, -1
11432, -6, -41, 5, 10955, -10840, -1115, 5448, -15, -3, 9
11500, -7, -41, 4, 10946, -10845, -1108, 5458, -14, -3, 11
11569, -8, -41, 4, 10938, -10848, -1099, 5469, -13, -1, 14
11638, -9, -41, 3, 10929, -10853, -1090, 5480, -15, -3, 10
11710, -10, -42, 3, 10922, -10856, -1084, 5488, -20, 4, 1
11778, -11, -42, 2, 10920, -10845, -1085, 5514, 5, -30, -41
11846, -12, -42, 2, 10910, -10851, -1077, 5523, -16, 5, 1
11915, -13, -43, 1, 10903, -10852, -1072, 5536, -15, 5, 0
11985, -14, -43, 1, 10895, -10856, -1064, 5544, -15, 2, 3
12057, -15, -43, 0, 10889, -10859, -1057, 5552, -15, 5, 8
12125, -16, -43, 0, 10885, -10861, -1051, 5558, -13, 3, -2
12196, -17, -44, -1, 10882, -10861, -1046, 5563, -12, 4, 3
12266, -18, -44, -1, 10879, -10862, -1039, 5570, -13, 2, 6
12335, -19, -44, -2, 10876, -10863, -1034, 5576, -12, 1, -3
12407, -20, -44, -2, 10873, -10864, -1029, 5580, -12, 1, -1
12475, -21, -45, -3, 10868, -10865, -1024, 5588, -12, 2, 7
12545, -22, -45, -3, 10864, -10867, -1020, 5592, -12, 2, 3
12617, -23, -45, -3, 10860, -10866, -1016, 5601, -12, 1, 3
12686, -24, -45, -4, 10859, -10866, -1013, 5604, -11, 3, 5
12756, -25, -46, -4, 10858, -10866, -1011, 5606, -11, 2, 0
12828, -26, -46, -5, 10858, -10866, -1009, 5608, -11, 3, -2
12896, -27, -46, -5, 10857, -10866, -1007, 5610, -11, 1, 3
12967, -28, -46, -6, 10856, -10866, -1005, 5612, -13, 2, 0
13037, -29, -47, -6, 10855, -10867, -1002, 5614, -11, 2, 0
13106, -30, -47, -7, 10854, -10867, -1000, 5616, -9, 2, 5
13178, -32, -47, -7, 10853, -10867, -998, 5617, -11, 1, 4
13246, -33, -48, -8, 10852, -10868, -996, 5619, -12, 2, -5
13316, -34, -48, -8, 10851, -10868, -994, 5621, -11, 2, 1
13387, -35, -48, -8, 10850, -10868, -992, 5622, -10, 1, 2
13456, -36, -48, -9, 10849, -10868, -990, 5623, -9, 1, 0
13524, -37, -48, -9, 10849, -10869, -988, 5625, -12, 2, 1